"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.410490487E1,-3.804468155E1,3.467213440E1,-2.769834900E1
4.411490087E1,-3.821710968E1,3.457739258E1,-2.765644836E1
4.412489588E1,-3.817577744E1,3.464947891E1,-2.762567139E1
4.413489188E1,-3.812845993E1,3.450146484E1,-2.762374878E1
4.414488788E1,-3.820579147E1,3.462686539E1,-2.780438232E1
4.415488387E1,-3.797975540E1,3.443708420E1,-2.755639648E1
4.416487887E1,-3.820916367E1,3.452294922E1,-2.768504333E1
4.417487487E1,-3.828179169E1,3.455525970E1,-2.769606018E1
4.418487088E1,-3.827328110E1,3.440751266E1,-2.771864319E1
4.419486688E1,-3.841315079E1,3.447130585E1,-2.781768799E1
4.420486188E1,-3.832991409E1,3.463128281E1,-2.763748169E1
4.421485788E1,-3.841318893E1,3.444244766E1,-2.777400208E1
4.422485387E1,-3.844742584E1,3.437142181E1,-2.782046509E1
4.423484987E1,-3.838626862E1,3.423945999E1,-2.780590820E1
4.424484588E1,-3.842298508E1,3.416009521E1,-2.788229370E1
4.425484088E1,-3.828720474E1,3.410956192E1,-2.789408875E1
4.426483688E1,-3.835708618E1,3.405849075E1,-2.786633301E1
4.427483287E1,-3.843518066E1,3.408843994E1,-2.771258545E1
4.428482887E1,-3.841440582E1,3.419900513E1,-2.787347412E1
4.429482387E1,-3.844438553E1,3.410724258E1,-2.783610535E1
4.430481988E1,-3.836452103E1,3.413857651E1,-2.780709839E1
4.431481588E1,-3.852583313E1,3.408399582E1,-2.792492676E1
4.432481188E1,-3.850702667E1,3.416372681E1,-2.792631531E1
4.433480688E1,-3.843283463E1,3.408794403E1,-2.787397766E1
4.434480287E1,-3.833827591E1,3.399697113E1,-2.776170349E1
4.435479887E1,-3.843126678E1,3.402198410E1,-2.812985229E1
4.436479488E1,-3.842565155E1,3.397258759E1,-2.795486450E1
4.437478988E1,-3.846305466E1,3.410126877E1,-2.807397461E1
4.438478588E1,-3.834085464E1,3.388940048E1,-2.816918945E1
4.439478188E1,-3.838990784E1,3.380691910E1,-2.811430359E1
4.440477787E1,-3.835538101E1,3.387828064E1,-2.822903442E1
4.441477287E1,-3.850540924E1,3.379900742E1,-2.817251587E1
4.442476888E1,-3.847934723E1,3.367345047E1,-2.838108826E1
4.443476488E1,-3.844728088E1,3.368016815E1,-2.838972473E1
4.444476088E1,-3.840408707E1,3.359841156E1,-2.830406189E1
4.445475687E1,-3.845358658E1,3.360368729E1,-2.815684509E1
4.446475187E1,-3.850087357E1,3.345097733E1,-2.830212402E1
4.447474787E1,-3.862901306E1,3.337486649E1,-2.844187927E1
4.448474388E1,-3.856107330E1,3.336049652E1,-2.826242065E1
4.449473988E1,-3.851496887E1,3.348560715E1,-2.827622986E1
4.450473488E1,-3.852069855E1,3.346389389E1,-2.834957886E1
4.451473088E1,-3.859680939E1,3.321072006E1,-2.852139282E1
4.452472687E1,-3.865389633E1,3.327907562E1,-2.871556091E1
4.453472287E1,-3.855736923E1,3.338866425E1,-2.862644958E1
4.454471788E1,-3.855225372E1,3.351365662E1,-2.839959717E1
4.455471388E1,-3.855225372E1,3.351365662E1,-2.839959717E1
4.456470988E1,-3.852213287E1,3.356805801E1,-2.839292908E1
4.457470587E1,-3.858680344E1,3.345879364E1,-2.845327759E1
4.458470087E1,-3.863069916E1,3.348023605E1,-2.849079895E1
4.459469687E1,-3.861027145E1,3.342120361E1,-2.854333496E1
4.460469288E1,-3.845962143E1,3.341127777E1,-2.842901611E1
4.461468888E1,-3.845606613E1,3.350643539E1,-2.843878174E1
4.462468488E1,-3.864191437E1,3.349400330E1,-2.857408142E1
4.463467988E1,-3.874468231E1,3.357968140E1,-2.863874817E1
4.464467587E1,-3.877449799E1,3.357781219E1,-2.868215942E1
4.465467187E1,-3.861768341E1,3.350481796E1,-2.851196289E1
4.466466687E1,-3.850661850E1,3.345077133E1,-2.857812500E1
4.467466288E1,-3.856696320E1,3.345974350E1,-2.855036926E1
4.468465888E1,-3.868938065E1,3.356204987E1,-2.875173950E1
4.469465488E1,-3.856343079E1,3.341308212E1,-2.868954468E1
4.470465087E1,-3.868290710E1,3.330026627E1,-2.876130676E1
4.471464587E1,-3.865848923E1,3.337107468E1,-2.871220398E1
4.472464188E1,-3.860967636E1,3.336640167E1,-2.858308411E1
4.473463788E1,-3.884621811E1,3.351496124E1,-2.862001038E1
4.474463388E1,-3.864952469E1,3.352532196E1,-2.851876831E1
4.475462888E1,-3.871972275E1,3.332456970E1,-2.856347656E1
4.476462487E1,-3.875380707E1,3.343864059E1,-2.877729797E1
4.477462087E1,-3.866249084E1,3.333720016E1,-2.860368347E1
4.478461688E1,-3.867961884E1,3.344857788E1,-2.869398499E1
4.479461188E1,-3.861197662E1,3.351552200E1,-2.854109192E1
4.480460808E1,-3.874744034E1,3.363315964E1,-2.852392578E1
4.481460408E1,-3.874252701E1,3.372515869E1,-2.870486450E1
4.482460008E1,-3.872931671E1,3.348558426E1,-2.847192383E1
4.483459508E1,-3.891724014E1,3.369958496E1,-2.851762390E1
4.484459108E1,-3.860627365E1,3.381378555E1,-2.843826294E1
4.485458708E1,-3.868981552E1,3.362579727E1,-2.860957336E1
4.486458308E1,-3.883082962E1,3.369142914E1,-2.873063660E1
